step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
100,2.2567,8.5350,1.06,0.4919,0.42,0.0010,0.4138,2.7944,0.9051,0.2140,5.1083,9.0644,0.4015,0.9995,0.8685,0.4922,4.8943,0.9833
200,2.0652,7.7692,21.03,0.4788,0.42,0.0008,0.4137,-6.0621,3.1502,-13.1299,-2.4251,29.0275,0.0127,0.9993,0.6688,0.4785,10.7048,0.9830
300,1.8615,7.3683,23.98,0.4934,0.42,0.0010,0.4137,-9.8248,1.3209,-12.5569,-5.6124,31.9789,0.0004,0.2723,1.2770,0.4922,6.9446,0.1556
400,1.6823,6.7090,23.95,0.4961,0.42,0.0009,0.4135,-8.5582,0.9205,-10.5515,-5.2879,31.9494,0.0005,0.1252,1.1590,0.4980,5.2636,0.0404
500,1.5208,6.0716,23.96,0.4980,0.42,0.0009,0.4137,-8.8696,1.1457,-11.5251,-4.3731,31.9600,0.0009,0.0888,1.1942,0.4980,7.1520,0.0233
600,1.5169,6.0584,23.91,0.4964,0.42,0.0008,0.4136,-8.1986,1.3917,-12.2996,-2.9704,31.9075,0.0034,0.0880,1.2788,0.4961,9.3291,0.0185
700,1.4735,5.8877,23.83,0.4993,0.42,0.0008,0.4137,-7.9675,1.4697,-11.2440,-0.9285,31.8319,0.0102,0.0753,1.1943,0.4980,10.3155,0.0127
800,1.3246,5.2931,23.99,0.5000,0.42,0.0008,0.4134,-10.3415,1.3895,-12.9472,-4.5886,31.9933,0.0008,0.0719,1.2241,0.4980,8.3587,0.0104
900,1.2940,5.1720,23.99,0.5016,0.42,0.0008,0.4133,-9.8567,1.3129,-12.6783,-4.0965,31.9881,0.0013,0.0633,1.2202,0.5000,8.5818,0.0082
1000,1.3277,5.3073,23.98,0.5015,0.42,0.0008,0.4137,-9.2391,1.4242,-12.6558,-3.0611,31.9754,0.0034,0.0626,1.2505,0.4980,9.5947,0.0071
1100,1.2731,5.0893,23.97,0.5012,0.42,0.0007,0.4134,-9.0123,1.5095,-12.4579,-3.2509,31.9681,0.0047,0.0588,1.2692,0.4980,9.2070,0.0060
